歐飛頻道,#genre#
亚洲旅游台,https://pkj99.github.io/ofiii/亞洲旅遊台.m3u8
华视,https://pkj99.github.io/ofiii/華視.m3u8
龙华偶像,https://pkj99.github.io/ofiii/龍華偶像台.m3u8
台视,https://pkj99.github.io/ofiii/台視.m3u8
中视,https://pkj99.github.io/ofiii/中視.m3u8
龙华动画,https://pkj99.github.io/ofiii/龍華卡通台.m3u8
龙华戏剧,https://pkj99.github.io/ofiii/龍華戲劇台.m3u8
Smart知识台,https://pkj99.github.io/ofiii/Smart知識台.m3u8
Focus风采戏剧台,https://pkj99.github.io/ofiii/Focus風采戲劇台.m3u8
好消息2台,https://pkj99.github.io/ofiii/好消息2台.m3u8
掏掏新闻,https://pkj99.github.io/ofiii/掏掏新聞.m3u8
东森购物二台,https://pkj99.github.io/ofiii/東森購物2台.m3u8
ELTV生活英语台,https://pkj99.github.io/ofiii/ELTV生活英語台.m3u8
好消息,https://pkj99.github.io/ofiii/好消息.m3u8
民视第一台,https://pkj99.github.io/ofiii/民视第一台.m3u8
国会频道1台,https://pkj99.github.io/ofiii/國會頻道1台.m3u8
民视,https://pkj99.github.io/ofiii/民视.m3u8
民视旅游台,https://pkj99.github.io/ofiii/民视旅游台.m3u8
台视新闻台,https://pkj99.github.io/ofiii/台視新聞.m3u8
民视影剧台,https://pkj99.github.io/ofiii/民視影劇台.m3u8
第1商业台,https://pkj99.github.io/ofiii/第1商業台.m3u8
民视综艺台,https://pkj99.github.io/ofiii/民视综艺台.m3u8
中视新闻,https://pkj99.github.io/ofiii/中視新聞.m3u8
民视新闻台,https://pkj99.github.io/ofiii/民视新闻台.m3u8
民视台湾台,https://pkj99.github.io/ofiii/民视台湾台.m3u8
龙华电影,https://pkj99.github.io/ofiii/龍華電影台.m3u8
国会频道2台,https://pkj99.github.io/ofiii/國會頻道2台.m3u8
龙华经典台,https://pkj99.github.io/ofiii/龍華經典台.m3u8
LiTV 好康优惠,https://pkj99.github.io/ofiii/LiTV 好康優惠.m3u8
大发不动产,https://pkj99.github.io/ofiii/大發不動產.m3u8
银发聚乐部,https://pkj99.github.io/ofiii/銀髮聚樂部.m3u8
SiCAR爱车酷,https://pkj99.github.io/ofiii/SiCAR愛車酷.m3u8
欧飞电影台,https://pkj99.github.io/ofiii/歐飛電影台.m3u8
琅琊榜,https://pkj99.github.io/ofiii/琅琊榜.m3u8
生命的赢家,https://pkj99.github.io/ofiii/生命的贏家.m3u8
东森购物快闪台,https://pkj99.github.io/ofiii/東森購物快閃台.m3u8
山河月明,https://pkj99.github.io/ofiii/山河月明.m3u8
去有风的地方,https://pkj99.github.io/ofiii/去有風的地方.m3u8
Focus探索新知台,https://pkj99.github.io/ofiii/Focus探索新知台.m3u8
哆啦Ａ梦台,https://pkj99.github.io/ofiii/哆啦Ａ夢台.m3u8
年代MUCH综艺台,https://pkj99.github.io/ofiii/年代MUCH綜藝台.m3u8
寰宇财经台,https://pkj99.github.io/ofiii/寰宇財經台.m3u8
大叔的爱,https://pkj99.github.io/ofiii/大叔的愛.m3u8
中天新闻台,https://pkj99.github.io/ofiii/中天新聞台.m3u8
台湾1001个故事,https://pkj99.github.io/ofiii/台灣1001個故事.m3u8
三十而已,https://pkj99.github.io/ofiii/三十而已.m3u8
台湾X档案,https://pkj99.github.io/ofiii/台灣X檔案.m3u8
台湾启示录,https://pkj99.github.io/ofiii/台灣啟示錄.m3u8
综艺玩很大,https://pkj99.github.io/ofiii/綜藝玩很大.m3u8
台湾戏剧台,https://pkj99.github.io/ofiii/台灣戲劇台.m3u8
全民星攻略,https://pkj99.github.io/ofiii/全民星攻略.m3u8
汽车线上情报志,https://pkj99.github.io/ofiii/汽車線上情報誌.m3u8
检法男女2,https://pkj99.github.io/ofiii/檢法男女2.m3u8
蒙福人生,https://pkj99.github.io/ofiii/蒙福人生.m3u8
统哥 嗜驾Pit63,https://pkj99.github.io/ofiii/統哥 嗜駕Pit63.m3u8
华视新闻,https://pkj99.github.io/ofiii/華視新聞.m3u8
东森购物一台,https://pkj99.github.io/ofiii/東森購物1台.m3u8
Yes娱乐,https://pkj99.github.io/ofiii/Yes娛樂.m3u8
CARLINK链车网,https://pkj99.github.io/ofiii/CARLINK鏈車網.m3u8
龙华日韩台,https://pkj99.github.io/ofiii/龍華日韓台.m3u8
第1财经,https://pkj99.github.io/ofiii/第1財經.m3u8
寰宇新闻,https://pkj99.github.io/ofiii/寰宇新聞台.m3u8
寰宇新闻台湾台,https://pkj99.github.io/ofiii/寰宇新聞台灣台.m3u8
欢迎来到第2人生,https://pkj99.github.io/ofiii/歡迎來到第2人生.m3u8
