星視界頻道,#genre#
TVBS欢乐台,https://dispatch.ulivetv.net/v/live/cg0hzu3sgc00.m3u8?stream_id=cg0hzu3sgc00&timestamp=1686210620&rand=02I4UbMepF&uuid=9b647b3816b2a66a&from=web&sign=c1880dbbd6ebafff505c17d76af89e97
中天娱乐台,https://dispatch.ulivetv.net/v/live/cg0iacfwayf4.m3u8?stream_id=cg0iacfwayf4&timestamp=1686210634&rand=tnpBKEOQ9J&uuid=9b647b3816b2a66a&from=web&sign=17e0eec501291a728b42a36431ab777d
八大娱乐台,https://dispatch.ulivetv.net/v/live/cg0j44tc0kow.m3u8?stream_id=cg0j44tc0kow&timestamp=1686210649&rand=WLWPG9BFWq&uuid=9b647b3816b2a66a&from=web&sign=c8704e3cd5d039b890bc9b26d3b07092
东森电影,https://dispatch.ulivetv.net/v/live/cl7ca5o7h4n4.m3u8?stream_id=cl7ca5o7h4n4&timestamp=1686210663&rand=O6KWIZ0ZwQ&uuid=9b647b3816b2a66a&from=web&sign=ad82bf1467b3c051a3b6c95159b94251
东森戏剧,https://dispatch.ulivetv.net/v/live/cl7caihk7zr4.m3u8?stream_id=cl7caihk7zr4&timestamp=1686210677&rand=fOHCTEJinW&uuid=9b647b3816b2a66a&from=web&sign=f74adcef0061d5f9d5f8caa1b76f422b
东森洋片,https://dispatch.ulivetv.net/v/live/cl7cavg498sg.m3u8?stream_id=cl7cavg498sg&timestamp=1686210691&rand=BWVk69LERS&uuid=9b647b3816b2a66a&from=web&sign=75e7fd0f73406833a87f2479dbd27ac7
卫视中文台,https://dispatch.ulivetv.net/v/live/cl7ciyx4pznk.m3u8?stream_id=cl7ciyx4pznk&timestamp=1686210706&rand=qhAM7c8dzX&uuid=9b647b3816b2a66a&from=web&sign=4582faa55e9fb8b47ec851c131228998
卫视电影台,https://dispatch.ulivetv.net/v/live/cl7cjf5jgs00.m3u8?stream_id=cl7cjf5jgs00&timestamp=1686210720&rand=xHto3LyJu9&uuid=9b647b3816b2a66a&from=web&sign=cb1bf9166290bba23d4a5fc40ec9e197
龙祥电影台,https://dispatch.ulivetv.net/v/live/cl7cjqrlyzeo.m3u8?stream_id=cl7cjqrlyzeo&timestamp=1686210734&rand=iEVG5rDR2q&uuid=9b647b3816b2a66a&from=web&sign=b80c5df5bb4f8912c7a0ea5e4373f01a
好莱坞电影台,https://dispatch.ulivetv.net/v/live/cl7ck1qkwzpc.m3u8?stream_id=cl7ck1qkwzpc&timestamp=1686210748&rand=pvkC9fAJRe&uuid=9b647b3816b2a66a&from=web&sign=09a76f78223db278800f6a36a167cab1
